problem,solution,steps,precautions
Anal Fissure,Promote healing and reduce pain,1. Soak in warm bath\n2. Increase fiber and water intake\n3. Use stool softeners if needed\n4. Apply petroleum jelly to area\n5. Avoid constipation,"See doctor for severe pain, bleeding, or not healing"
Dry Eyes,Lubricate eyes,1. Use artificial tears regularly\n2. Blink more frequently\n3. Use humidifier\n4. Take screen breaks\n5. Wear sunglasses outdoors,"See doctor if severe discomfort, vision changes, or not improving with drops"
Ear Congestion,Relieve pressure,1. Use decongestants as directed\n2. Try steam inhalation\n3. Chew gum or yawn\n4. Use nasal saline spray\n5. Apply warm compress,"See doctor for severe pain, hearing loss, or fever"
Muscle Soreness,Promote recovery,1. Gentle stretching\n2. Apply ice for acute soreness\n3. Use heat for stiffness\n4. Light activity\n5. Stay hydrated,"See doctor if severe pain, swelling, or not improving after several days"
Dehydration,Rehydrate properly,1. Drink water consistently\n2. Use oral rehydration solutions\n3. Eat water-rich foods\n4. Avoid alcohol and caffeine\n5. Rest in cool environment,"Seek emergency care if confusion, rapid heartbeat, no urination for 8+ hours"
Overheating,Cool down body,1. Move to cool place\n2. Remove excess clothing\n3. Use cool compresses\n4. Drink cool fluids\n5. Take cool shower or bath,"Seek emergency care for confusion, rapid breathing, or loss of consciousness"
Hypoglycemia,Restore blood sugar,1. Consume fast-acting carbohydrates\n2. Rest and monitor symptoms\n3. Recheck blood sugar in 15 minutes\n4. Eat protein-containing snack after recovery\n5. Use glucagon if unconscious,"Seek emergency care if unconscious, having seizures, or unable to swallow"
Hypertension Crisis,Lower blood pressure safely,1. Sit quietly and rest\n2. Take prescribed medications as directed\n3. Practice deep breathing\n4. Monitor blood pressure\n5. Avoid stimulants,"Seek emergency care if BP >180/120, with chest pain, shortness of breath, or neurological symptoms"
Angina Attack,Rest and medication,1. Stop activity and rest\n2. Use prescribed nitroglycerin\n3. Loosen tight clothing\n4. Practice relaxation techniques\n5. Monitor symptoms,"Seek emergency care if pain not relieved by rest and medication, or worsening"
Panic Attack,Grounding and calming,"1. Speak in calm, reassuring tone\n2. Encourage slow, deep breathing\n3. Use grounding techniques (name 5 things you see)\n4. Move to quiet space\n5. Stay with person","Seek emergency care if frequent, severe, or with thoughts of self-harm"
Allergic Asthma,Avoid triggers and use medication,1. Use rescue inhaler as directed\n2. Remove from allergen exposure\n3. Sit upright and breathe slowly\n4. Use antihistamines if appropriate\n5. Seek fresh air,"Seek emergency care if no improvement with inhaler, difficulty speaking, or cyanosis"
COPD Exacerbation,Conserve energy and use medication,1. Use prescribed rescue medications\n2. Practice pursed-lip breathing\n3. Sit upright leaning forward\n4. Use oxygen if prescribed\n5. Stay calm and rest,"Seek emergency care if severe shortness of breath, confusion, or blue lips/fingernails"
Heart Failure Symptoms,Reduce fluid retention,1. Weigh daily\n2. Limit salt and fluid intake\n3. Elevate legs when sitting\n4. Take medications as prescribed\n5. Monitor for worsening symptoms,"Seek emergency care for sudden weight gain, severe shortness of breath, or chest pain"
Stroke Symptoms,FAST assessment and emergency care,1. F - Face drooping\n2. A - Arm weakness\n3. S - Speech difficulty\n4. T - Time to call emergency\n5. Note time symptoms started,Call emergency immediately for any stroke symptoms - every minute counts
Heart Attack,Immediate emergency care,1. Call emergency immediately\n2. Chew aspirin if not allergic\n3. Rest in comfortable position\n4. Loosen tight clothing\n5. Don't drive yourself,"Call emergency for chest pain, especially with arm/jaw pain, shortness of breath"
Anaphylaxis,Epinephrine and emergency care,1. Use epinephrine auto-injector\n2. Call emergency immediately\n3. Lie flat with legs elevated\n4. Use second dose if no improvement in 5-15 minutes\n5. Don't stand or walk,"Always seek emergency care after epinephrine use, even if symptoms improve"
Seizure,Protect from injury,1. Clear area of hard objects\n2. Don't restrain person\n3. Place on side if possible\n4. Don't put anything in mouth\n5. Time the seizure,"Call emergency if seizure lasts >5 minutes, multiple seizures, or first seizure"
Diabetic Emergency,Restore blood sugar,"1. If conscious, give fast-acting sugar\n2. If unconscious, don't give anything by mouth\n3. Use glucagon if prescribed\n4. Monitor breathing\n5. Call emergency if no improvement","Seek emergency care for unconsciousness, seizures, or unable to swallow"
Heat Stroke,Rapid cooling,1. Move to cool place\n2. Remove excess clothing\n3. Apply cool water to skin\n4. Use fans or air conditioning\n5. Monitor consciousness,Call emergency immediately - heat stroke is life-threatening
Hypothermia,Gradual warming,"1. Move to warm place\n2. Remove wet clothing\n3. Warm center of body first\n4. Use warm, dry blankets\n5. Offer warm, sweet drinks if conscious","Seek emergency care for severe hypothermia (shivering stops, confusion)"
Poisoning,Identify substance and call poison control,1. Call poison control (1-800-222-1222)\n2. Identify substance if possible\n3. Follow instructions precisely\n4. Don't induce vomiting unless directed\n5. Have container available,"Call emergency for unconsciousness, difficulty breathing, or seizures"
Drug Overdose,Emergency response,1. Call emergency immediately\n2. Check breathing and pulse\n3. Place in recovery position if breathing\n4. Don't induce vomiting\n5. Provide information about substance,Always call emergency for suspected overdose - don't wait for symptoms to worsen
Alcohol Poisoning,Emergency care,1. Call emergency immediately\n2. Don't leave person alone\n3. Place in recovery position if vomiting\n4. Monitor breathing\n5. Keep warm,"Call emergency for confusion, vomiting, seizures, slow breathing, or unconsciousness"
Opioid Overdose,Naloxone administration,1. Call emergency immediately\n2. Administer naloxone if available\n3. Perform rescue breathing if needed\n4. Monitor for return of breathing\n5. Stay with person until help arrives,Multiple doses of naloxone may be needed - seek emergency care even if person wakes up
Bleeding Control,Direct pressure and elevation,1. Apply direct pressure with clean cloth\n2. Elevate injured area above heart\n3. Continue pressure for 10-15 minutes\n4. Use pressure points if needed\n5. Apply bandage once bleeding stops,"Seek emergency care for arterial bleeding, deep wounds, or bleeding that won't stop"
Shock,Maintain blood flow to vital organs,1. Lay person flat\n2. Elevate legs 12 inches\n3. Keep person warm\n4. Don't give anything by mouth\n5. Monitor breathing,"Call emergency immediately for any signs of shock (pale, cold, rapid pulse)"
Fainting,Restore blood flow to brain,1. Lay person flat\n2. Elevate legs\n3. Loosen tight clothing\n4. Ensure fresh air\n5. Don't get up too quickly,"Seek emergency care if doesn't regain consciousness quickly, or with chest pain"
Choking (Conscious Adult),Heimlich maneuver,1. Ask 'Are you choking?'\n2. Stand behind person\n3. Make fist above navel\n4. Give quick upward thrusts\n5. Continue until object dislodged,Call emergency if person becomes unconscious or unable to breathe
Near-Drowning,Respiratory support,1. Remove from water safely\n2. Check breathing and pulse\n3. Start CPR if not breathing\n4. Place in recovery position if breathing\n5. Keep warm and dry,Call emergency for all near-drowning - complications can develop hours later
Carbon Monoxide Poisoning,Fresh air and oxygen,1. Move to fresh air immediately\n2. Call emergency\n3. Administer oxygen if available\n4. Loosen tight clothing\n5. Monitor breathing,Seek emergency care for suspected CO poisoning - symptoms may be vague
Burn Emergency,Stop burning process,"1. Remove from heat source\n2. Cool burn with room temperature water\n3. Remove jewelry and tight clothing\n4. Cover with clean, dry dressing\n5. Call emergency for severe burns","Call emergency immediately for large burns, deep burns, or burns on face/hands/genitals"
,,,
Nosebleed,Control bleeding and prevent re-bleeding,1. Sit down and lean slightly forward\n2. Pinch the soft part of your nose shut for 10-15 minutes\n3. Breathe through your mouth\n4. Apply cold compress to the bridge of the nose\n5. Avoid blowing or picking nose for several hours,"Seek help if bleeding won't stop after 20 minutes, is very heavy, or followed a head injury"
Fracture (Suspected),Immobilize and protect the limb,"1. Call emergency services (if a large bone or open fracture)\n2. Keep the limb as still as possible\n3. Do NOT try to straighten the bone\n4. Apply a cold pack (with barrier) to reduce swelling\n5. Treat for shock (lay flat, elevate legs, keep warm)","Do not move the person if head, neck, or spine injury is suspected; never attempt to push bone back in"
Adult Choking (Severe),Perform abdominal thrusts (Heimlich),"1. Stand behind the person\n2. Make a fist and place it just above the navel\n3. Grasp the fist with your other hand\n4. Give quick, upward thrusts (up to 5)\n5. Alternate with 5 back blows until object is dislodged or person becomes unconscious","If unconscious, begin CPR; do not attempt to retrieve the object with your fingers unless you can see it clearly"
Heat Exhaustion,Cool down and rehydrate,"1. Move to a cool, shaded area\n2. Lie down and elevate legs\n3. Loosen or remove clothing\n4. Sip cool water or sports drink\n5. Apply cool, wet cloths or take a cool shower/bath","Seek emergency care if symptoms worsen, vomiting prevents drinking, or confusion/loss of consciousness occurs (could be heat stroke)"
Hypothermia (Mild),Prevent further heat loss and warm gradually,"1. Move to a warm, dry location\n2. Remove any wet clothing\n3. Wrap in dry blankets, covering the head\n4. Share body heat if necessary\n5. Offer warm, sweet drinks (non-alcoholic)","Seek emergency care if severe (shivering stops, confusion, loss of consciousness); avoid rapid warming methods like hot water"
Concussion (Suspected),Rest and monitor for worsening symptoms,"1. Rest immediately (physical and mental)\n2. Avoid screens, reading, and strenuous activity\n3. Use acetaminophen for headache\n4. Monitor for changes in consciousness, severe headache, or repeated vomiting\n5. Do not leave the person alone for the first 24 hours","Seek emergency care for severe headache, unequal pupils, slurred speech, confusion, or difficulty waking up"
Spider or Insect Bite (Non-Emergency),"Clean, ice, and relieve discomfort",1. Wash the area with soap and water\n2. Apply a cold pack or ice (with cloth barrier) to reduce swelling\n3. Take an oral antihistamine or apply hydrocortisone cream for itching\n4. Elevate the area if possible\n5. Monitor the bite site,"Seek medical help for signs of severe allergic reaction (anaphylaxis) or signs of spreading infection (red streaks, fever)"
Toothache,Relieve pain and address cause,1. Rinse mouth with warm water\n2. Gently floss to remove trapped food\n3. Take OTC pain reliever (avoid placing aspirin directly on the gum)\n4. Apply a cold compress to the cheek\n5. See a dentist as soon as possible,"Do not use benzocaine products in children under 2; seek immediate dental care for fever, swelling, or pain lasting more than 1-2 days"
Minor Puncture Wound,Clean and assess need for tetanus shot,1. Wash hands and clean wound with soap and water\n2. Apply gentle pressure to encourage bleeding (to help flush out debris)\n3. Apply antibiotic ointment\n4. Cover with a clean bandage\n5. Check tetanus immunization status,"Seek medical help if the object is embedded, the wound is deep, or it's dirty (e.g., from a rusty nail); ensure tetanus shot is current"
Fingers/Toes Caught (Crush Injury),"Ice, elevation, and assessment",1. Remove any rings/jewelry immediately before swelling begins\n2. Apply ice (with cloth barrier) for 15-20 minutes\n3. Elevate the injured digit above heart level\n4. Control any bleeding with pressure\n5. Take OTC pain relievers,"Seek medical help for severe pain, obvious deformity, loss of sensation, or if bleeding cannot be controlled"
