name,description,possible_conditions,severity,when_to_see_doctor
Metallic Taste,Sensation of tasting metal,"Medications, pregnancy, chemotherapy, neurological disorders, poor oral hygiene",Low,"Persistent, with other neurological symptoms, or after starting new medication"
Gum Bleeding,"Bleeding from gums, especially when brushing","Gingivitis, periodontitis, vitamin deficiency, blood disorders, medications",Variable,"Excessive bleeding, with loose teeth, gum pain, or other bleeding symptoms"
Tooth Pain,Pain in or around a tooth,"Tooth decay, abscess, gum disease, tooth fracture, sinus infection",Variable,"Severe pain, swelling, fever, or difficulty breathing/swallowing"
Jaw Pain,Discomfort in jaw area,"TMJ disorders, teeth grinding, sinus problems, heart attack, arthritis",Variable,"Severe pain, with chest pain, difficulty breathing, or jaw locking"
Neck Pain,Pain in cervical spine area,"Muscle strain, arthritis, herniated disc, meningitis, injury",Variable,"After injury, with fever, headache, weakness, or numbness/tingling in arms"
Shoulder Pain,Discomfort in shoulder joint,"Rotator cuff injury, arthritis, frozen shoulder, referred pain from heart/lungs",Variable,"Severe pain, inability to move arm, after injury, or with chest pain/shortness of breath"
Hip Pain,Discomfort in hip joint,"Arthritis, bursitis, tendonitis, hip fracture, referred back pain",Variable,"Severe pain, inability to bear weight, after fall, or with fever"
Knee Pain,Discomfort in knee joint,"Arthritis, ligament injury, meniscus tear, bursitis, gout",Variable,"Severe pain, inability to bear weight, knee locking, or significant swelling"
Ankle Pain,Discomfort in ankle joint,"Sprain, arthritis, gout, tendonitis, fracture",Variable,"Severe pain, inability to bear weight, significant swelling, or deformity"
Heel Pain,Discomfort in heel area,"Plantar fasciitis, heel spurs, Achilles tendonitis, arthritis",Low,"Severe pain, inability to walk, or not improving with rest and home care"
Foot Pain,Discomfort in any part of foot,"Plantar fasciitis, arthritis, nerve compression, fracture, poor footwear",Variable,"Severe pain, open sores, signs of infection, or in diabetics"
Hand Pain,Discomfort in hand or wrist,"Arthritis, carpal tunnel syndrome, injury, tendonitis, ganglion cyst",Variable,"Severe pain, deformity, inability to move fingers, or with numbness/tingling"
Elbow Pain,Discomfort in elbow joint,"Tennis elbow, golfer's elbow, arthritis, bursitis, nerve compression",Variable,"Severe pain, inability to move elbow, deformity, or with numbness/tingling in hand"
Rib Pain,Discomfort in rib cage area,"Rib fracture, costochondritis, pleurisy, shingles, referred organ pain",Variable,"After injury, with difficulty breathing, or suspected rib fracture"
Pelvic Pain,Discomfort in lower abdomen/pelvic area,"UTI, ovarian cysts, endometriosis, pelvic inflammatory disease, IBS",Variable,"Severe pain, with fever, vaginal bleeding, or during pregnancy"
Testicular Pain,Discomfort in testicles or scrotum,"Testicular torsion, infection, injury, hernia, kidney stone",High,"Sudden severe pain, swelling, nausea/vomiting - may be EMERGENCY"
Breast Pain,Discomfort in breast tissue,"Hormonal changes, infection, injury, cysts, rarely cancer",Variable,"Localized persistent pain, with lump, nipple discharge, or skin changes"
Vaginal Discharge,Fluid coming from vagina,"Normal variation, infection, STIs, hormonal changes, cervical issues",Variable,"Foul odor, unusual color, with itching/pain, or after possible STI exposure"
Penile Discharge,Fluid coming from penis,"UTI, STIs, balanitis, rarely cancer",Variable,"Any discharge (especially pus), with pain, sores, or after possible STI exposure"
Rectal Bleeding,Blood from rectum or in stool,"Hemorrhoids, anal fissure, diverticulosis, inflammatory bowel disease, cancer",High,"Heavy bleeding, with dizziness, severe abdominal pain, or unexplained weight loss"
Blood in Urine,Visible or microscopic blood in urine,"UTI, kidney stones, kidney disease, cancer, medications",High,"Any amount of visible blood, with pain, fever, or difficulty urinating"
Blood in Stool,Blood in or on stool,"Hemorrhoids, diverticulosis, inflammatory bowel disease, colon cancer",High,"Maroon or black stools, large amount of blood, with dizziness or abdominal pain"
Incontinence,Inability to control bladder or bowels,"Urinary tract issues, neurological disorders, prostate problems, constipation",Variable,"Sudden onset, frequent episodes, or with other neurological symptoms"
Fainting,Temporary loss of consciousness,"Low blood pressure, heart problems, neurological conditions, dehydration",High,"First episode, with chest pain, palpitations, or after head injury"
Seizures,Sudden uncontrolled electrical disturbance in brain,"Epilepsy, head injury, stroke, infection, metabolic disorders",High,"First-time seizure, lasting more than 5 minutes, or multiple seizures - EMERGENCY"
Panic Attacks,Sudden episodes of intense fear and anxiety,"Panic disorder, anxiety disorders, heart conditions, hyperthyroidism",Variable,"Frequent attacks, with chest pain, or thoughts of self-harm"
Hallucinations,"Seeing, hearing or sensing things that aren't present","Psychiatric disorders, neurological conditions, medications, substance use",High,"First occurrence, with confusion, or risk of harm to self/others"
Paranoia,Irrational distrust or suspicion of others,"Psychiatric disorders, dementia, substance use, certain medications",Variable,"Affecting daily functioning, with other psychiatric symptoms, or risk of harm"
Mood Swings,"Rapid, extreme changes in mood","Bipolar disorder, depression, hormonal changes, neurological conditions",Variable,"Severe enough to affect relationships/work, with risky behavior or suicidal thoughts"
Aggression,Hostile or violent behavior,"Psychiatric disorders, dementia, brain injury, substance use, pain",High,"Risk of harm to self or others, sudden personality change"
Social Withdrawal,Avoiding social interactions and activities,"Depression, anxiety, schizophrenia, dementia, hearing loss",Variable,"Sudden change, affecting work/relationships, with other concerning symptoms"
Compulsive Behaviors,Repetitive behaviors difficult to resist,"OCD, anxiety disorders, neurological conditions, substance use",Variable,"Interfering with daily life, causing distress, or risk behaviors"
Loss of Interest,Decreased interest in previously enjoyed activities,"Depression, dementia, Parkinson's disease, medication side effects",Variable,"Sudden change, affecting multiple areas of life, with other mood symptoms"
Crying Spells,"Frequent, often unexplained episodes of crying","Depression, anxiety, hormonal changes, neurological conditions",Variable,"Frequent uncontrollable episodes, with mood changes or suicidal thoughts"
Irritability,Easily annoyed or angered,"Stress, depression, anxiety, hormonal changes, pain, substance withdrawal",Variable,"Severe enough to affect relationships, with other mood or physical symptoms"
Poor Concentration,Difficulty focusing or paying attention,"ADHD, depression, anxiety, sleep disorders, neurological conditions",Variable,"Sudden onset, affecting work/school, with memory problems or other neurological symptoms"
Decreased Libido,Reduced interest in sexual activity,"Stress, relationship issues, hormonal changes, medications, depression",Variable,"Causing distress, with other symptoms like fatigue, mood changes, or physical symptoms"
Erectile Dysfunction,Inability to achieve/maintain erection,"Vascular disease, diabetes, neurological conditions, medications, psychological factors",Variable,"Persistent problem, with other symptoms like chest pain or leg pain with walking"
Painful Intercourse,Discomfort or pain during sexual activity,"Vaginal dryness, infection, endometriosis, psychological factors, anatomical issues",Variable,"Persistent problem, with other pelvic symptoms, or affecting relationship"
Morning Sickness,Nausea and vomiting during pregnancy,"Normal pregnancy, hyperemesis gravidarum",Variable,"Unable to keep liquids down, weight loss, dehydration signs, or decreased urination"
Hot and Cold Flashes,Alternating sensations of warmth and chills,"Menopause, infections, anxiety, thyroid disorders, certain cancers",Variable,"Severe enough to disrupt daily life, with other concerning symptoms"
Food Cravings,Intense desire for specific foods,"Pregnancy, PMS, nutritional deficiencies, emotional eating, certain medications",Low,"With other concerning symptoms, or compulsive eating causing health problems"
Food Aversions,Strong dislike for specific foods,"Pregnancy, eating disorders, gastrointestinal issues, psychological factors",Low,"Leading to nutritional deficiencies, or with weight loss/other concerning symptoms"
Excessive Gas,Increased flatulence or belching,"Dietary factors, IBS, food intolerances, digestive disorders",Low,"With abdominal pain, weight loss, diarrhea, or other concerning digestive symptoms"
Heartburn,Burning sensation in chest after eating,"GERD, hiatal hernia, pregnancy, certain foods, medications",Variable,"Frequent episodes, not relieved by OTC medications, with difficulty swallowing or chest pain"
Indigestion,Discomfort or burning in upper abdomen,"Overeating, fatty foods, stress, ulcers, gallstones, pancreatitis",Variable,"Severe pain, persistent symptoms, with vomiting, weight loss, or jaundice"
Motion Sickness,Nausea and dizziness from motion,"Normal sensitivity, inner ear problems, migraine, anxiety",Low,"Severe enough to prevent travel, or with other neurological symptoms"
Jet Lag,Fatigue and sleep disturbances from time zone changes,Rapid travel across time zones,Low,Persistent symptoms affecting work/function for more than a few days
Dehydration,Insufficient fluid in the body,"Inadequate fluid intake, excessive sweating, vomiting, diarrhea",Variable,"Extreme thirst, no urination for 8+ hours, dizziness, confusion - may need emergency care"
Sunburn,"Red, painful skin from UV overexposure",Excessive sun exposure,Low,"Severe blistering, fever, chills, confusion, or signs of infection"
Insect Bite Reaction,Skin reaction to insect bite/sting,"Normal reaction, allergic reaction, infection",Variable,"Difficulty breathing, swelling of face/throat, dizziness, rapid pulse - EMERGENCY for allergic reaction"
Poison Ivy Reaction,Skin reaction to urushiol oil from plants,"Contact with poison ivy, oak, or sumac",Low,"Widespread rash, on face/genitals, with fever, or signs of infection"
