name,description,symptoms,treatment,prevention,when_to__see_doctor,,
Mononucleosis,Viral infection often caused by Epstein-Barr virus,"Fatigue, sore throat, fever, swollen lymph nodes, rash, enlarged spleen","Rest, fluids, pain relievers, avoid contact sports (due to spleen enlargement)","Avoid sharing drinks/utensils, good hand hygiene","Difficulty breathing/swallowing, severe abdominal pain",,
Panic,Disorder,Anxiety disorder characterized by recurrent unexpected panic attacks,"Sudden episodes of intense fear, palpitations, sweating, trembling, shortness of breath","Cognitive behavioral therapy, SSRIs, SNRIs, benzodiazepines","Stress management, regular exercise, avoid stimulants, early treatment","Frequent panic attacks, fear of having attacks",
Osteoporosis,Bone disease developing when bone mineral density and mass decrease,"Often asymptomatic until fracture occurs; back pain, loss of height, stooped posture","Bisphosphonates, denosumab, teriparatide, hormone-related therapy","Calcium/vitamin D, weight-bearing exercise, no smoking, limit alcohol","Fracture from minor injury, height loss, back pain",,
IBS,Functional gastrointestinal disorder affecting large intestine,"Abdominal pain/cramping, bloating, gas, diarrhea, constipation (or alternating)","Dietary changes (low FODMAP), fiber supplements, medications, stress management","Identify and avoid trigger foods, stress management, regular exercise","Rectal bleeding, unexplained weight loss, persistent pain",,
Tuberculosis,Infectious disease mainly affecting lungs,"Persistent cough (sometimes bloody), chest pain, fatigue, fever, night sweats, weight loss","Multiple antibiotics for 6-9 months (isoniazid, rifampin, ethambutol, pyrazinamide)","BCG vaccine, avoid close contact with active TB, treatment of latent TB","Persistent cough >3 weeks, coughing blood, night sweats",,
Hepatitis,B,Viral infection causing liver inflammation,"Fatigue, abdominal pain, jaundice, dark urine, joint pain, loss of appetite","Antiviral medications (tenofovir, entecavir), interferon injections, liver transplant","Hepatitis B vaccine, safe sex practices, don't share needles","Jaundice, severe abdominal pain, persistent fatigue",
Sleep,Apnea,Serious sleep disorder where breathing repeatedly stops and starts,"Loud snoring, episodes of stopped breathing, gasping for air, daytime sleepiness, morning headache","CPAP machine, oral appliances, lifestyle changes, surgery","Weight management, avoid alcohol/sedatives, sleep on side, treat nasal congestion","Loud snoring with breathing pauses, excessive daytime sleepiness",
Rosacea,Chronic skin condition causing facial redness and visible blood vessels,"Facial redness, swollen red bumps, eye problems, thickened skin (especially nose)","Topical medications (metronidazole, azelaic acid), oral antibiotics, laser therapy","Identify and avoid triggers (sun, stress, spicy foods, alcohol), gentle skin care","Persistent facial redness, acne-like bumps, eye irritation",,
Food,Poisoning,Illness caused by consuming contaminated food or beverages,"Nausea, vomiting, watery/diarrhea, abdominal pain/cramps, fever","Rest, fluids, bland diet, antibiotics only for specific bacterial causes","Proper food handling/cooking, hand washing, avoid cross-contamination","Blood in stool, high fever, dehydration, symptoms lasting >3 days",
Chickenpox,Highly contagious viral infection causing itchy blister-like rash,"Fever, loss of appetite, headache, tiredness, itchy blister rash that scabs over","Calamine lotion, antihistamines, acetaminophen, antiviral drugs in some cases","Vaccination, avoid contact with infected persons","Difficulty breathing, confusion, severe headache, rash with pus",,
Measles,Highly contagious viral illness that can be serious for small children,"Fever, dry cough, runny nose, sore throat, inflamed eyes, skin rash","Rest, fluids, fever reducers, vitamin A supplementation","MMR vaccine, avoid contact with infected persons","High fever, ear infection, pneumonia, encephalitis",,
Mumps,Viral infection affecting salivary glands,"Swollen salivary glands, fever, headache, muscle aches, weakness, loss of appetite","Rest, fluids, pain relievers, cold or warm compresses for swollen glands","MMR vaccine, avoid contact with infected persons","Severe headache, stiff neck, testicular pain/swelling, abdominal pain",,
Rubella,Contagious viral infection best known by its distinctive red rash,"Mild fever, headache, stuffy/runny nose, red eyes, rash, swollen lymph nodes","Rest, fluids, acetaminophen for fever","MMR vaccine, avoid contact with infected persons","Pregnancy with possible exposure, high fever, severe headache",,
Tetanus,Serious bacterial infection causing painful muscle stiffness,"Jaw cramping, muscle spasms, trouble swallowing, seizures, headache, fever","Wound care, tetanus immune globulin, antibiotics, muscle relaxers, ventilator support","Tetanus vaccination (DTaP, Tdap, Td), proper wound care","Any puncture wound or deep cut, especially if contaminated",,
Whooping,Cough,Highly contagious respiratory tract infection,"Runny nose, mild cough, fever, severe coughing fits that end with whooping sound","Antibiotics (early), supportive care, hospitalization for severe cases","DTaP/Tdap vaccination, avoid contact with infected persons","Bluish skin color, breathing difficulties, dehydration, seizures",
HPV,Viral infection that can cause warts and lead to various cancers,"Often asymptomatic; genital warts, cervical changes, throat warts","Cryotherapy, topical medications, surgical removal, monitoring for cancerous changes","HPV vaccination, safe sex practices, regular Pap tests","Abnormal Pap test, genital warts, known exposure",,
HIV/AIDS,Viral infection that attacks the immune system,"Flu-like symptoms early; later: weight loss, fever, fatigue, recurrent infections","Antiretroviral therapy (ART), treatment of opportunistic infections","Safe sex practices, pre-exposure prophylaxis (PrEP), don't share needles","Known exposure, persistent flu-like symptoms, opportunistic infections",,
Malaria,Mosquito-borne parasitic disease affecting red blood cells,"Fever, chills, headache, nausea, vomiting, muscle pain, fatigue","Antimalarial medications (chloroquine, artemisinin-based combination therapy)","Antimalarial drugs when traveling to endemic areas, mosquito avoidance","Fever after travel to malaria-endemic area, severe headache, confusion",,
Dengue,Fever,Mosquito-borne viral illness,"High fever, severe headache, pain behind eyes, joint/muscle pain, rash","Supportive care (fluids, pain relievers), avoid aspirin and NSAIDs","Mosquito control, protective clothing, mosquito repellent","Severe abdominal pain, persistent vomiting, bleeding gums, fatigue",
Zika,Virus,Mosquito-borne virus that can cause birth defects,"Mild fever, rash, joint pain, red eyes, muscle pain","Rest, fluids, acetaminophen for fever and pain","Mosquito control, protective clothing, avoid travel to endemic areas if pregnant","Pregnancy with possible exposure, Guillain-Barré syndrome symptoms",
Cholera,Bacterial infection causing severe diarrhea and dehydration,"Profuse watery diarrhea, vomiting, leg cramps, rapid heart rate, loss of skin elasticity","Oral rehydration solution, intravenous fluids, antibiotics","Safe water and food practices, cholera vaccine for travelers to endemic areas","Severe diarrhea and dehydration, especially after travel to endemic area",,
Typhoid,Fever,Bacterial infection spread through contaminated food and water,"High fever, headache, stomach pain, constipation or diarrhea","Antibiotics (ceftriaxone, azithromycin), fluids","Typhoid vaccine, safe food and water practices, good hygiene",High fever with abdominal pain after travel to endemic area,
Yellow,Fever,Viral hemorrhagic disease spread by mosquitoes,"Fever, headache, muscle aches, nausea, vomiting, jaundice","Supportive care (fluids, oxygen, blood pressure support)","Yellow fever vaccination, mosquito control",Fever with jaundice after travel to endemic area,
Rabies,Viral disease transmitted through animal bites,"Fever, headache, excess salivation, muscle spasms, paralysis, confusion","Post-exposure prophylaxis (vaccine and immune globulin), supportive care once symptoms appear","Vaccinate pets, avoid contact with wild animals, pre-exposure vaccination for high-risk groups","Animal bite, especially from bat, raccoon, skunk, or fox",,
Leprosy,Chronic bacterial infection affecting nerves and skin,"Discolored skin patches, numbness, muscle weakness, eye problems","Multidrug therapy (dapsone, rifampin, clofazimine)","Avoid close contact with untreated individuals, BCG vaccine offers some protection","Skin patches with loss of sensation, nerve thickening",,
Plague,Serious bacterial infection transmitted by fleas,"Sudden fever, chills, headache, swollen/tender lymph nodes (buboes)","Antibiotics (streptomycin, gentamicin, doxycycline)","Avoid rodent-infested areas, flea control, antibiotics after exposure",Fever with swollen lymph nodes after potential exposure,,
Tularemia,"Infectious disease that can attack skin, eyes, lymph nodes, lungs","Fever, skin ulcers, swollen/painful lymph glands, eye inflammation, pneumonia","Antibiotics (streptomycin, gentamicin, doxycycline)","Avoid tick and deer fly bites, wear gloves when handling animals",Fever with skin ulcer or swollen lymph nodes after potential exposure,,
Leptospirosis,Bacterial infection spread through water contaminated with animal urine,"High fever, headache, chills, muscle aches, vomiting, jaundice, red eyes","Antibiotics (doxycycline, penicillin), supportive care","Avoid contaminated water, protective clothing, doxycycline prophylaxis",Fever with jaundice after exposure to potentially contaminated water,,
Schistosomiasis,Parasitic disease caused by blood flukes,"Rash, fever, chills, cough, muscle aches, abdominal pain, blood in stool/urine",Antiparasitic medication (praziquantel),"Avoid swimming in fresh water in endemic areas, treat water",Blood in urine or stool after travel to endemic area,,
Filariasis,Parasitic infection transmitted through mosquito bites,"Swelling of limbs/genitals, thickened skin, fever","Antiparasitic medications (diethylcarbamazine, ivermectin)","Mosquito control, preventive medication in endemic areas","Lymphedema, especially after travel to endemic area",,
Onchocerciasis,Parasitic eye and skin disease (river blindness),"Itching, skin changes, eye lesions, vision loss, blindness",Antiparasitic medication (ivermectin),"Avoid black fly bites, ivermectin distribution in endemic areas","Severe itching, skin changes, vision problems after travel to endemic area",,
Chagas,Disease,Parasitic infection transmitted by kissing bugs,"Swelling at infection site, fever, fatigue, rash, body aches, later: heart/gut problems","Antiparasitic medications (benznidazole, nifurtimox)","Insecticide spraying, improved housing, screening blood donations","Fever with swelling at bite site, heart problems after potential exposure",
Sleeping,Sickness,Parasitic disease transmitted by tsetse fly,"Fever, headaches, joint pains, itching, later: confusion, poor coordination, sleep disturbances","Antiparasitic medications (pentamidine, suramin, eflornithine)","Avoid tsetse fly bites, protective clothing, insect repellent",Fever with neurological symptoms after travel to endemic Africa,
Leishmaniasis,Parasitic disease transmitted by sand fly bites,"Skin sores, fever, weight loss, enlarged spleen/liver","Antiparasitic medications (liposomal amphotericin B, miltefosine)","Avoid sand fly bites, protective clothing, insect repellent","Skin ulcers that don't heal, fever after travel to endemic area",,
Amebiasis,Parasitic infection of the intestines,"Diarrhea (sometimes bloody), stomach pain, cramping, fever","Antiparasitic medications (metronidazole, paromomycin)","Good hygiene, safe water and food practices, handwashing","Bloody diarrhea, severe abdominal pain, fever",,
Giardiasis,Parasitic intestinal infection,"Diarrhea, gas, stomach cramps, nausea, dehydration","Antiparasitic medications (metronidazole, tinidazole)","Good hygiene, safe water practices, handwashing","Persistent diarrhea, dehydration, weight loss",,
Trichomoniasis,Parasitic sexually transmitted infection,"Itching/burning/redness of genitals, discomfort with urination, discharge","Antiparasitic medication (metronidazole, tinidazole)","Safe sex practices, mutual monogamy, condom use","Symptoms of infection, known exposure",,
Scabies,Infestation of the skin by the human itch mite,"Intense itching, especially at night; rash, burrow tracks","Topical scabicides (permethrin, ivermectin), antihistamines for itching","Avoid direct skin-to-skin contact, treat infected household members","Severe itching with rash, especially at night",,
Lice,Infestation,Infestation of tiny insects on hair or skin,"Itching, visible nits (eggs) or lice, irritability, difficulty sleeping","Topical pediculicides (permethrin, malathion), combing, oral ivermectin in severe cases","Avoid head-to-head contact, don't share personal items","Persistent itching, visible lice/nits",
Ringworm,"Fungal infection of the skin, not caused by worms","Circular rash with clearer skin in middle, itching, redness","Antifungal creams (clotrimazole, miconazole), oral antifungals for severe cases","Keep skin clean/dry, don't share personal items, wear shoes in locker rooms","Widespread infection, no improvement with OTC treatment",,
Jock,Itch,Fungal infection of the groin area,"Itching, redness, rash that may have raised edges","Antifungal creams, powders, sprays","Keep groin area clean/dry, wear loose clothing, change underwear daily","Severe infection, spreading, diabetes present",
Yeast,Infection,Fungal infection caused by Candida overgrowth,"Vaginal itching/burning, white discharge, pain with urination/sex","Antifungal creams, suppositories, oral fluconazole","Avoid douching, wear cotton underwear, control diabetes","Recurrent infections, severe symptoms, pregnancy",
Impetigo,Highly contagious bacterial skin infection,"Red sores that rupture, ooze, form honey-colored crusts, itching","Topical or oral antibiotics (mupirocin, cephalexin)","Good hygiene, keep wounds clean, avoid contact with infected persons","Spreading rash, fever, large areas affected",,
Cellulitis,Bacterial infection of the skin and deeper tissues,"Redness, swelling, pain, warmth, fever","Oral or intravenous antibiotics, elevation, pain relief","Skin care, treat wounds promptly, control underlying conditions","Spreading redness, fever, rapid heart rate",,
Erysipelas,Bacterial skin infection involving upper dermis and lymphatics,"Shiny red swollen area with raised border, fever, chills","Antibiotics (penicillin, erythromycin)","Skin care, treat wounds promptly, control underlying conditions",Sudden onset of painful red skin with fever,,
Necrotizing,Fasciitis,Flesh-eating bacterial infection,"Severe pain, redness, swelling, fever, skin discoloration, blisters","Emergency surgery, intravenous antibiotics, supportive care","Good hygiene, proper wound care, control diabetes",Severe pain with skin changes - MEDICAL EMERGENCY,
Toxic,Shock,Syndrome,Rare life-threatening bacterial infection,"High fever, rash, low blood pressure, vomiting, diarrhea","Emergency care, antibiotics, IV fluids, supportive care","Proper tampon use, good hygiene, wound care",High fever with rash and low blood pressure - EMERGENCY
Kawasaki,Disease,Inflammation of blood vessels in children,"Fever lasting >5 days, rash, swollen hands/feet, red eyes/cracked lips","Intravenous immunoglobulin, aspirin, sometimes corticosteroids",No known prevention,"Fever in child with rash, red eyes, swollen hands/feet",
Henoch-Schönlein,Purpura,Inflammation of small blood vessels,"Purple spots on skin, joint pain, abdominal pain, blood in urine","Supportive care, sometimes corticosteroids, immunosuppressants",No known prevention,Purple skin spots with abdominal pain or joint pain,
Sarcoidosis,Inflammatory disease forming granulomas in organs,"Fatigue, swollen lymph nodes, weight loss, joint pain, shortness of breath","Corticosteroids, immunosuppressants, sometimes no treatment",No known prevention,"Persistent cough, shortness of breath, skin lesions",,
Amyloidosis,Rare disease where amyloid proteins build up in organs,"Fatigue, weight loss, swelling, shortness of breath, numbness","Chemotherapy, stem cell transplant, supportive care",No known prevention,Unexplained weight loss with multiple organ symptoms,,
Scleroderma,Group of diseases causing hardening/tightening of skin and connective tissues,"Hardened skin, Raynaud's phenomenon, digestive problems, joint pain","No cure; treatments for symptoms: immunosuppressants, physical therapy",No known prevention,"Skin thickening, Raynaud's phenomenon, digestive issues",,
Polymyositis,Inflammatory muscle disease causing muscle weakness,"Muscle weakness (especially hips/thighs/shoulders), fatigue, difficulty swallowing","Corticosteroids, immunosuppressants, physical therapy",No known prevention,"Progressive muscle weakness, difficulty swallowing",,
Dermatomyositis,Inflammatory muscle disease with skin rash,"Muscle weakness, skin rash (especially on face/hands), fatigue","Corticosteroids, immunosuppressants, physical therapy",No known prevention,Muscle weakness with characteristic skin rash,,
Vasculitis,Inflammation of blood vessels,"Fever, fatigue, weight loss, muscle/joint pain, nerve problems","Corticosteroids, immunosuppressants, sometimes no treatment",No known prevention,Unexplained fever with rash or nerve symptoms,,
Behçet's,Disease,Rare disorder causing blood vessel inflammation,"Mouth sores, genital sores, eye inflammation, skin lesions","Corticosteroids, immunosuppressants, colchicine",No known prevention,Recurrent mouth and genital sores with eye inflammation,
Wegener's,Granulomatosis,Inflammation of blood vessels in respiratory tract/kidneys,"Sinus pain, nosebleeds, shortness of breath, cough, kidney problems","Corticosteroids, cyclophosphamide, rituximab",No known prevention,Persistent sinus/nasal symptoms with kidney or lung problems,
Temporal,Arteritis,Inflammation of temporal arteries,"Headache, jaw pain with chewing, vision problems, fever",High-dose corticosteroids,No known prevention,New headache with vision changes or jaw pain - URGENT,
Polymyalgia,Rheumatica,Inflammatory disorder causing muscle pain/stiffness,"Pain/stiffness in shoulders/hips/neck, fever, fatigue",Corticosteroids,No known prevention,Morning stiffness in shoulders/hips/neck,
Fibromyalgia,Disorder characterized by widespread pain,"Widespread pain, fatigue, sleep problems, memory issues","Pain medications, antidepressants, anticonvulsants, therapy","Stress management, regular exercise, good sleep habits",Widespread pain with fatigue and sleep problems,,
Chronic,Fatigue,Syndrome,Complex disorder causing extreme fatigue,"Severe fatigue not improved by rest, post-exertional malaise, sleep problems","Symptom management: cognitive behavioral therapy, graded exercise",No known prevention,Persistent severe fatigue affecting daily activities
Lupus,Autoimmune disease where immune system attacks body's tissues,"Butterfly-shaped facial rash, joint pain, fever, fatigue, sun sensitivity","NSAIDs, antimalarials, corticosteroids, immunosuppressants","Sun protection, healthy lifestyle, regular medical care","Butterfly rash, joint pain with fever and fatigue",,
Myasthenia,Gravis,Chronic autoimmune neuromuscular disease,"Muscle weakness that improves with rest, drooping eyelids, double vision","Acetylcholinesterase inhibitors, immunosuppressants, thymectomy",No known prevention,"Muscle weakness that worsens with activity, drooping eyelids",
Guillain-Barré,Syndrome,Rare disorder where immune system attacks nerves,"Muscle weakness starting in legs and spreading, tingling, difficulty breathing","Plasmapheresis, IV immunoglobulin, supportive care",No known prevention,"Progressive muscle weakness, especially after infection",
ALS,Progressive neurodegenerative disease affecting nerve cells,"Muscle weakness, twitching, stiffness, difficulty speaking/swallowing","Riluzole, edaravone, supportive care, physical therapy",No known prevention,"Progressive muscle weakness, especially with speech/swallowing problems",,
Huntington's,Disease,Inherited disorder causing nerve cell breakdown,"Uncontrolled movements, cognitive problems, psychiatric disorders","No cure; medications to manage symptoms (tetrabenazine), therapy",No prevention; genetic counseling recommended,"Involuntary movements, cognitive decline, mood changes",
